girone,giornata,s1,s2
a,1,s17,s8
a,1,s15,s16
a,2,s16,s8
a,2,s15,s17
a,3,s15,s8
a,3,s16,s17
b,1,s2,s3
b,1,s1,s29
b,2,s1,s3
b,2,s2,s29
b,3,s1,s2
b,3,s29,s3
c,1,s32,s4
c,1,s28,s31
c,2,s31,s4
c,2,s28,s32
c,3,s28,s4
c,3,s31,s32
d,1,s14,s7
d,1,s27,s30
d,2,s30,s7
d,2,s14,s27
d,3,s27,s7
d,3,s14,s30
e,1,s24,s25
e,1,s13,s26
e,2,s13,s25
e,2,s24,s26
e,3,s13,s24
e,3,s25,s26
f,1,s12,s6
f,1,s22,s23
f,2,s23,s6
f,2,s12,s22
f,3,s22,s6
f,3,s12,s23
g,1,s11,s20
g,1,s10,s21
g,2,s10,s20
g,2,s11,s21
g,3,s10,s11
g,3,s20,s21
h,1,s19,s5
h,1,s18,s9
h,2,s18,s5
h,2,s19,s9
h,3,s5,s9
h,3,s18,s19
